"","process","scenario","year","GWh_sum"
"113","석탄","OSP_CN_REN_10","2017",20359.7906381
"114","석탄","OSP_CN_REN_10","2020",20373.1756601
"115","석탄","OSP_CN_REN_10","2025",19030.1823961
"116","석탄","OSP_CN_REN_10","2030",14304.03836964
"117","석탄","OSP_CN_REN_10","2035",11897.533555
"118","석탄","OSP_CN_REN_10","2040",8955.510932
"119","석탄","OSP_CN_REN_10","2045",5653.3180636
"120","석탄","OSP_CN_REN_10","2050",1391.1630789
"121","신에너지","OSP_CN_REN_10","2017",233.4491227
"122","신에너지","OSP_CN_REN_10","2020",737.9979574
"123","신에너지","OSP_CN_REN_10","2025",1279.4273511
"124","신에너지","OSP_CN_REN_10","2030",2224.8994883
"125","신에너지","OSP_CN_REN_10","2035",2441.4284879
"126","신에너지","OSP_CN_REN_10","2040",3376.6225918
"127","신에너지","OSP_CN_REN_10","2045",3376.6225918
"128","신에너지","OSP_CN_REN_10","2050",4050.9299998
"129","양수","OSP_CN_REN_10","2017",0
"130","양수","OSP_CN_REN_10","2020",360
"131","양수","OSP_CN_REN_10","2025",360
"132","양수","OSP_CN_REN_10","2030",398.29787234
"133","양수","OSP_CN_REN_10","2035",497.8723404
"134","양수","OSP_CN_REN_10","2040",497.8723404
"135","양수","OSP_CN_REN_10","2045",558.7389816
"136","양수","OSP_CN_REN_10","2050",521.5479346
"137","원자력","OSP_CN_REN_10","2017",12722.404137
"138","원자력","OSP_CN_REN_10","2020",13755.9693806
"139","원자력","OSP_CN_REN_10","2025",14998.460975
"140","원자력","OSP_CN_REN_10","2030",12069.918346
"141","원자력","OSP_CN_REN_10","2035",10294.930354
"142","원자력","OSP_CN_REN_10","2040",9111.605026
"143","원자력","OSP_CN_REN_10","2045",6744.95437
"144","원자력","OSP_CN_REN_10","2050",6744.95437
"145","천연가스CC","OSP_CN_REN_10","2017",4600.7170367
"146","천연가스CC","OSP_CN_REN_10","2020",3536.8340763
"147","천연가스CC","OSP_CN_REN_10","2025",2175.1083479
"148","천연가스CC","OSP_CN_REN_10","2030",8416.8124317
"149","천연가스CC","OSP_CN_REN_10","2035",10296.45112303
"150","천연가스CC","OSP_CN_REN_10","2040",11773.27784233
"151","천연가스CC","OSP_CN_REN_10","2045",14782.8163224
"152","천연가스CC","OSP_CN_REN_10","2050",14876.227701
"153","태양광","OSP_CN_REN_10","2017",593.2285051
"154","태양광","OSP_CN_REN_10","2020",1678.8336021
"155","태양광","OSP_CN_REN_10","2025",3682.7031141
"156","태양광","OSP_CN_REN_10","2030",3985.8616191
"157","태양광","OSP_CN_REN_10","2035",5381.6288771
"158","태양광","OSP_CN_REN_10","2040",11799.019
"159","태양광","OSP_CN_REN_10","2045",13611.49359
"160","태양광","OSP_CN_REN_10","2050",18088.63426
"161","풍력","OSP_CN_REN_10","2017",185.9827939
"162","풍력","OSP_CN_REN_10","2020",225.38809692
"163","풍력","OSP_CN_REN_10","2025",1124.0917786
"164","풍력","OSP_CN_REN_10","2030",1388.0831686
"165","풍력","OSP_CN_REN_10","2035",4915.8909596
"166","풍력","OSP_CN_REN_10","2040",4679.048742
"167","풍력","OSP_CN_REN_10","2045",4679.048742
"168","풍력","OSP_CN_REN_10","2050",4679.048742
"169","해상풍력","OSP_CN_REN_10","2017",0
"170","해상풍력","OSP_CN_REN_10","2020",79.7504196
"171","해상풍력","OSP_CN_REN_10","2025",525.8429942
"172","해상풍력","OSP_CN_REN_10","2030",2066.579861
"173","해상풍력","OSP_CN_REN_10","2035",2066.579861
"174","해상풍력","OSP_CN_REN_10","2040",2066.579861
"175","해상풍력","OSP_CN_REN_10","2045",2066.579861
"176","해상풍력","OSP_CN_REN_10","2050",2066.579861
"177","ESS","OSP_CN_REN_20","2017",0
"178","ESS","OSP_CN_REN_20","2020",0
"179","ESS","OSP_CN_REN_20","2025",0
"180","ESS","OSP_CN_REN_20","2030",0
"181","ESS","OSP_CN_REN_20","2035",0
"182","ESS","OSP_CN_REN_20","2040",0
"183","ESS","OSP_CN_REN_20","2045",448.6404757
"184","ESS","OSP_CN_REN_20","2050",1159.549691
"185","기타재생","OSP_CN_REN_20","2017",1486.104225092
"186","기타재생","OSP_CN_REN_20","2020",1879.592143026
"187","기타재생","OSP_CN_REN_20","2025",1987.372730226
"188","기타재생","OSP_CN_REN_20","2030",2061.236349426
"189","기타재생","OSP_CN_REN_20","2035",2229.012284466
"190","기타재생","OSP_CN_REN_20","2040",2229.012284466
"191","기타재생","OSP_CN_REN_20","2045",2229.012284466
"192","기타재생","OSP_CN_REN_20","2050",2229.012284466
"193","석유","OSP_CN_REN_20","2017",277.076774436
"194","석유","OSP_CN_REN_20","2020",164.76016644
"195","석유","OSP_CN_REN_20","2025",83.28985949
"196","석유","OSP_CN_REN_20","2030",164.76016644
"197","석유","OSP_CN_REN_20","2035",0
"198","석유","OSP_CN_REN_20","2040",0
"199","석유","OSP_CN_REN_20","2045",0
"200","석유","OSP_CN_REN_20","2050",0
"201","석탄","OSP_CN_REN_20","2017",20359.7906381
"202","석탄","OSP_CN_REN_20","2020",20373.1756601
"203","석탄","OSP_CN_REN_20","2025",18675.3528961
"204","석탄","OSP_CN_REN_20","2030",14469.0619221
"205","석탄","OSP_CN_REN_20","2035",12153.795091
"206","석탄","OSP_CN_REN_20","2040",9056.829206
"207","석탄","OSP_CN_REN_20","2045",8115.117505
"208","석탄","OSP_CN_REN_20","2050",3760.2813183
"209","신에너지","OSP_CN_REN_20","2017",233.4491227
"210","신에너지","OSP_CN_REN_20","2020",737.9979574
"211","신에너지","OSP_CN_REN_20","2025",1279.4273511
"212","신에너지","OSP_CN_REN_20","2030",2224.8994883
"213","신에너지","OSP_CN_REN_20","2035",2441.4284887
"214","신에너지","OSP_CN_REN_20","2040",3577.6176344
"215","신에너지","OSP_CN_REN_20","2045",3577.6176344
"216","신에너지","OSP_CN_REN_20","2050",4251.9250427
"217","양수","OSP_CN_REN_20","2017",0
"218","양수","OSP_CN_REN_20","2020",360
"219","양수","OSP_CN_REN_20","2025",360
"220","양수","OSP_CN_REN_20","2030",398.29787234
"221","양수","OSP_CN_REN_20","2035",497.8723404
"222","양수","OSP_CN_REN_20","2040",497.8723404
"223","양수","OSP_CN_REN_20","2045",612.3897
"224","양수","OSP_CN_REN_20","2050",561.3936378
"225","원자력","OSP_CN_REN_20","2017",12722.404137
"226","원자력","OSP_CN_REN_20","2020",13755.9693806
"227","원자력","OSP_CN_REN_20","2025",14998.460975
"228","원자력","OSP_CN_REN_20","2030",12069.918346
"229","원자력","OSP_CN_REN_20","2035",10294.930354
"230","원자력","OSP_CN_REN_20","2040",9111.605026
"231","원자력","OSP_CN_REN_20","2045",6744.95437
"232","원자력","OSP_CN_REN_20","2050",6744.95437
"233","천연가스CC","OSP_CN_REN_20","2017",4600.7170367
"234","천연가스CC","OSP_CN_REN_20","2020",3536.834076
"235","천연가스CC","OSP_CN_REN_20","2025",2231.6782515
"236","천연가스CC","OSP_CN_REN_20","2030",8176.4094832
"237","천연가스CC","OSP_CN_REN_20","2035",10659.8454478
"238","천연가스CC","OSP_CN_REN_20","2040",12619.115818
"239","천연가스CC","OSP_CN_REN_20","2045",11576.618585
"240","천연가스CC","OSP_CN_REN_20","2050",11848.000567
"241","태양광","OSP_CN_REN_20","2017",593.2285051
"242","태양광","OSP_CN_REN_20","2020",1678.8336021
"243","태양광","OSP_CN_REN_20","2025",3682.7031141
"244","태양광","OSP_CN_REN_20","2030",3985.8616191
"245","태양광","OSP_CN_REN_20","2035",5346.7351071
"246","태양광","OSP_CN_REN_20","2040",9529.680174
"247","태양광","OSP_CN_REN_20","2045",13209.8477
"248","태양광","OSP_CN_REN_20","2050",17630.52041
"249","풍력","OSP_CN_REN_20","2017",185.9827939
"250","풍력","OSP_CN_REN_20","2020",225.38809692
"251","풍력","OSP_CN_REN_20","2025",1124.0917786
"252","풍력","OSP_CN_REN_20","2030",1388.0831686
"253","풍력","OSP_CN_REN_20","2035",3842.1552716
