연도,월,지역,태양광 전체 설비용량,풍력 전체 설비용량,전기저장장치 연계 태양광 설비용량,전기저장장치 연계 풍력 설비용량,태양광 연계 전기저장장치 설비용량,풍력 연계 전기저장장치 설비용량
2020,08,제주도,279.8,294.6,15.7,107,13.7,22.5
2020,08,서울특별시,12.7,0,0.3,0,0.3,0
2020,08,인천광역시,34.8,49,10.7,46,10,8
2020,08,대전광역시,12.1,0,0,0,0,0
2020,08,광주광역시,56.6,0,6.5,0,5,0
2020,08,대구광역시,36.6,0,6.9,0,6,0
2020,08,세종특별자치시,20.7,0,3.5,0,3.3,0
2020,08,울산광역시,26.3,1.7,0.6,0,0.6,0
2020,08,부산광역시,61.7,0.8,9.8,0,8.1,0
2020,09,경기도,201.2,5.3,38.9,3,34.3,0.1
2020,09,강원도,356.5,390.9,131.4,48,120.3,9
2020,09,경상남도,271.7,48.6,66.5,32.8,61.2,5
2020,09,경상북도,458.9,421.2,131.4,126,119.7,35
2020,09,전라남도,1344.6,328,776.8,135.8,673.7,20.3
2020,09,전라북도,311.4,79.5,132.6,5,110.3,1.2
2020,09,충청남도,621,2,239.5,0,207.9,0
2020,09,충청북도,207.5,0,94.5,0,84.4,0
2020,09,제주도,285.3,294.6,15.7,107,13.7,22.5
2020,09,서울특별시,12.7,0,0.3,0,0.3,0
2020,09,인천광역시,34.8,49,10.7,46,10,8
2020,09,대전광역시,12.1,0,0,0,0,0
2020,09,광주광역시,56.6,0,6.5,0,5,0
2020,09,대구광역시,36.6,0,6.9,0,6,0
2020,09,세종특별자치시,20.7,0,3.5,0,3.3,0
2020,09,울산광역시,26.3,1.7,0.6,0,0.6,0
2020,09,부산광역시,61.8,0.8,9.9,0,8.2,0
2020,10,경기도,204.5,5.3,39.4,3,34.7,0.1
2020,10,강원도,364.2,390.9,131.4,48,120.3,9
2020,10,경상남도,273.9,48.6,66.5,32.8,61.2,5
2020,10,경상북도,463.8,421.2,133.5,126,121.7,35
2020,10,전라남도,1350.9,328,777.9,135.8,674.4,20.3
2020,10,전라북도,312.1,79.5,132.8,5,110.3,1.2
2020,10,충청남도,621,2,239.5,0,207.9,0
2020,10,충청북도,207.7,0,94.7,0,84.6,0
2020,10,제주도,296.9,294.6,15.7,107,13.7,22.5
2020,10,서울특별시,12.7,0,0.3,0,0.3,0
2020,10,인천광역시,36.2,49,10.7,46,10,8
2020,10,대전광역시,12.1,0,0,0,0.1,0
2020,10,광주광역시,56.6,0,6.5,0,5,0
2020,10,대구광역시,36.6,0,6.9,0,6,0
2020,10,세종특별자치시,20.7,0,3.5,0,3.3,0
2020,10,울산광역시,26.3,1.7,0.6,0,0.6,0
2020,10,부산광역시,61.8,0.8,7.1,0,6.2,0
2020,11,경기도,206.8,5.3,39.4,3,34.7,0.1
2020,11,강원도,372.3,439.9,131.4,48,120.3,9
2020,11,경상남도,278.3,48.6,67.4,32.8,62.2,5
2020,11,경상북도,468.5,421.2,133.7,126,121.9,35
2020,11,전라남도,1455.2,328,874.1,135.8,766.6,20.3
2020,11,전라북도,317.1,79.5,133.4,5,110.9,1.2
2020,11,충청남도,623.5,2,238.5,0,207.1,0
2020,11,충청북도,208.2,0,95.2,0,85.1,0
2020,11,제주도,290.8,294.6,15.7,107,13.7,22.5
2020,11,서울특별시,12.7,0,0.3,0,0.3,0
2020,11,인천광역시,36.2,49,10.7,46,10,8
2020,11,대전광역시,12.1,0,0,0,0.1,0
2020,11,광주광역시,56.6,0,6.5,0,5,0
2020,11,대구광역시,36.6,0,6.9,0,6,0
2020,11,세종특별자치시,20.7,0,3.5,0,3.3,0
2020,11,울산광역시,26.3,1.7,0.6,0,0.6,0
2020,11,부산광역시,61.8,0.8,7.1,0,6.2,0
2020,12,경기도,228.6,5.3,44.9,3,40,0.1
2020,12,강원도,395.8,450.7,148.2,48,137.5,9
2020,12,경상남도,279.3,48.6,68.4,32.8,63.2,5
2020,12,경상북도,475.9,421.2,139.6,126,127.3,35
2020,12,전라남도,1501.5,328,908.3,135.8,798.7,20.3
2020,12,전라북도,332.8,79.5,141.2,5,118.8,1.2
2020,12,충청남도,649,2,257.7,0,226.3,0
2020,12,충청북도,216.9,0,97.2,0,87.1,0
2020,12,제주도,293.8,294.6,16.6,107,14.3,22.5
2020,12,서울특별시,13.4,0,0.3,0,0.3,0
2020,12,인천광역시,40.8,49,12.4,46,11.5,8
2020,12,대전광역시,12.1,0,0,0,0.1,0
2020,12,광주광역시,56.6,0,6.5,0,5,0
2020,12,대구광역시,38.4,0,6.9,0,6,0
2020,12,세종특별자치시,20.7,0,3.5,0,3.3,0
2020,12,울산광역시,26.4,1.7,4,0,1.8,0
2020,12,부산광역시,61.8,0.8,7.1,0,6.2,0
2021,01,경기도,230.6,5.3,44.9,3,40,0.1
2021,01,강원도,407.9,461.5,148.2,48,137.5,9
2021,01,경상남도,279.3,48.6,68.4,32.8,63.2,5
2021,01,경상북도,477.9,421.2,139.6,126,127.3,35
2021,01,전라남도,1524.2,328,908.3,135.8,798.7,20.3
2021,01,전라북도,333.8,79.5,141.4,5,119,1.2
2021,01,충청남도,652,2,257.7,0,226.3,0
2021,01,충청북도,223,0,97.2,0,87.1,0
2021,01,제주도,290.5,294.6,16.6,107,14.3,22.5
2021,01,서울특별시,13.4,0,0.3,0,0.3,0
2021,01,인천광역시,40.8,49,12.4,46,11.5,8
2021,01,대전광역시,12.1,0,0,0,0.1,0
2021,01,광주광역시,56.6,0,6.5,0,5,0
2021,01,대구광역시,38.4,0,6.9,0,6,0
2021,01,세종특별자치시,20.7,0,3.5,0,3.3,0
2021,01,울산광역시,30.3,1.7,4,0,1.8,0
2021,01,부산광역시,65.6,0.8,7.1,0,6.2,0
2021,02,경기도,234.5,5.3,44.9,3,40,0.1
2021,02,강원도,417,461.5,148.2,48,137.5,9
2021,02,경상남도,281.8,48.6,68.4,32.8,63.2,5
2021,02,경상북도,484.6,421.2,139.6,126,127.3,35
2021,02,전라남도,1532.9,328,908.3,135.8,798.7,20.3
2021,02,전라북도,339.7,79.5,141.4,5,119,1.2
2021,02,충청남도,654,2,257.7,0,226.3,0
2021,02,충청북도,223,0,97.2,0,87.1,0
2021,02,제주도,289.9,294.6,16.6,107,14.3,22.5
2021,02,서울특별시,13.4,0,0.3,0,0.3,0
2021,02,인천광역시,40.8,49,12.4,46,11.5,8
2021,02,대전광역시,12.1,0,0,0,0.1,0
2021,02,광주광역시,57.6,0,6.5,0,5,0
2021,02,대구광역시,38.9,0,6.9,0,6,0
2021,02,세종특별자치시,20.7,0,3.5,0,3.3,0
2021,02,울산광역시,31.5,1.7,4,0,1.8,0
2021,02,부산광역시,65.6,0.8,7.1,0,6.2,0
2021,03,경기도,242.9,5.3,44.9,3,40,0.1
2021,03,강원도,437.7,461.5,148.2,48,137.5,9
2021,03,경상남도,287.7,48.6,68.4,32.8,63.2,5
2021,03,경상북도,500.7,421.2,139.6,126,127.3,35
2021,03,전라남도,1565.9,328,908.3,135.8,798.7,20.3
2021,03,전라북도,346.9,79.5,141.4,5,119,1.2
2021,03,충청남도,659.3,2,257.7,0,226.3,0
2021,03,충청북도,229.5,0,97.2,0,87.1,0
2021,03,제주도,288.5,294.6,16.6,107,14.3,22.5
2021,03,서울특별시,13.4,0,0.3,0,0.3,0
2021,03,인천광역시,41.3,49,12.4,46,11.5,8
2021,03,대전광역시,12.1,0,0,0,0.1,0
2021,03,광주광역시,58.1,0,6.5,0,5,0
2021,03,대구광역시,38.9,0,6.9,0,6,0
2021,03,세종특별자치시,20.7,0,3.5,0,3.3,0
2021,03,울산광역시,31.8,1.7,4,0,1.8,0
2021,03,부산광역시,69.5,0.8,7.1,0,6.2,0
2021,04,경기도,243.5,5.3,44.9,3,40,0.1
2021,04,강원도,441.1,461.5,148.2,48,137.5,9
2021,04,경상남도,295.1,48.6,68.4,32.8,63.2,5
2021,04,경상북도,518.1,421.2,139.6,126,127.3,35
2021,04,전라남도,1569.1,328,908.3,135.8,798.7,20.3
2021,04,전라북도,348.4,79.5,141.4,5,119,1.2
2021,04,충청남도,661.2,2,257.7,0,226.3,0
2021,04,충청북도,231.7,0,97.2,0,87.1,0
2021,04,제주도,296.5,294.6,16.6,107,14.3,22.5
2021,04,서울특별시,13.4,0,0.3,0,0.3,0
2021,04,인천광역시,41.3,49,12.4,46,11.5,8
2021,04,대전광역시,12.1,0,0,0,0.1,0
2021,04,광주광역시,58.1,0,6.5,0,5,0
2021,04,대구광역시,43.5,0,6.9,0,6,0
2021,04,세종특별자치시,20.7,0,3.5,0,3.3,0
2021,04,울산광역시,32.8,1.7,4,0,1.8,0
2021,04,부산광역시,71.8,0.8,7.1,0,6.2,0
2021,05,경기도,250.2,5.3,44.9,3,40,0.1
2021,05,강원도,450.4,461.5,148.2,48,137.5,9
2021,05,경상남도,298.3,48.6,68.4,32.8,63.2,5
2021,05,경상북도,523.1,421.2,139.6,126,127.3,35
2021,05,전라남도,1603.6,328,908.3,135.8,798.7,20.3
2021,05,전라북도,360.2,79.5,141.4,5,119,1.2
2021,05,충청남도,663.1,2,257.2,0,225.9,0
2021,05,충청북도,234.6,0,97.2,0,87.1,0
2021,05,제주도,297.7,294.6,16.6,107,14.3,22.5
2021,05,서울특별시,13.6,0,0.3,0,0.3,0
2021,05,인천광역시,42.3,49,12.4,46,11.5,8
2021,05,대전광역시,12.6,0,0,0,0.1,0
2021,05,광주광역시,58.1,0,6.5,0,5,0
2021,05,대구광역시,47.7,0,6.9,0,6,0
2021,05,세종특별자치시,20.7,0,3.5,0,3.3,0
2021,05,울산광역시,32.8,1.7,4,0,1.8,0
2021,05,부산광역시,71.8,0.8,7.1,0,6.2,0
2021,06,경기도,254.3,5.3,44.9,3,40,0.1
2021,06,강원도,451.4,461.5,148.2,48,137.5,9
2021,06,경상남도,298.3,48.6,68.4,32.8,63.2,5
2021,06,경상북도,534.9,421.2,139.6,126,127.3,35
2021,06,전라남도,1634.5,328,908.3,135.8,798.7,20.3
2021,06,전라북도,377.8,79.5,141.4,5,119,1.2
2021,06,충청남도,664.3,2,257.2,0,225.9,0
2021,06,충청북도,236.1,0,97.2,0,87.1,0
2021,06,제주도,300.1,294.6,16.6,107,14.3,22.5
2021,06,서울특별시,13.6,0,0.3,0,0.3,0
2021,06,인천광역시,42.3,49,12.4,46,11.5,8
2021,06,대전광역시,12.6,0,0,0,0.1,0
2021,06,광주광역시,58.3,0,6.5,0,5,0
2021,06,대구광역시,47.7,0,6.9,0,6,0
2021,06,세종특별자치시,20.7,0,3.5,0,3.3,0
2021,06,울산광역시,32.8,1.7,4,0,1.8,0
2021,06,부산광역시,71.8,0.8,7.1,0,6.2,0
2021,07,경기도,257.7,5.3,44.9,3,40,0.1
2021,07,강원도,470.4,461.5,148.2,48,137.5,9
2021,07,경상남도,301.6,48.6,68.4,32.8,63.2,5
2021,07,경상북도,539.4,421.2,139.6,126,127.3,35
2021,07,전라남도,1655.2,328,908.3,135.8,798.7,20.3
2021,07,전라북도,381.7,79.5,141.4,5,119,1.2
2021,07,충청남도,681.6,2,257.2,0,225.9,0
2021,07,충청북도,242.1,0,97.2,0,87.1,0
2021,07,제주도,300.1,294.6,16.6,107,14.3,22.5
2021,07,서울특별시,13.6,0,0.3,0,0.3,0
2021,07,인천광역시,42.3,49,12.4,46,11.5,8
2021,07,대전광역시,12.6,0,0,0,0.1,0
2021,07,광주광역시,59.3,0,6.5,0,5,0
2021,07,대구광역시,47.7,0,6.9,0,6,0
2021,07,세종특별자치시,20.7,0,3.5,0,3.3,0
2021,07,울산광역시,32.8,1.7,4,0,1.8,0
2021,07,부산광역시,71.8,0.8,7.1,0,6.2,0
2021,08,경기도,261,5.3,44.9,3,40,0.1
2021,08,강원도,476.9,461.5,148.2,48,137.5,9
2021,08,경상남도,305,48.6,68.4,32.8,63.2,5
2021,08,경상북도,550.6,421.2,139.6,126,127.3,35
2021,08,전라남도,1662.2,328,908.3,135.8,798.7,20.3
2021,08,전라북도,391.5,79.5,141.4,5,119,1.2
2021,08,충청남도,692.8,2,257.2,0,225.9,0
2021,08,충청북도,244.6,0,97.2,0,87.1,0
2021,08,제주도,305,294.6,16.6,107,14.3,22.5
2021,08,서울특별시,13.7,0,0.3,0,0.3,0
2021,08,인천광역시,42.3,49,12.4,46,11.5,8
2021,08,대전광역시,12.6,0,0,0,0.1,0
2021,08,광주광역시,59.3,0,6.5,0,5,0
2021,08,대구광역시,47.7,0,6.9,0,6,0
2021,08,세종특별자치시,23.7,0,3.5,0,3.3,0
2021,08,울산광역시,32.8,1.7,4,0,1.8,0
2021,08,부산광역시,71.8,0.8,7.1,0,6.2,0
2021,09,경기도,267.86208,5.25,44.89339,3,40.018,0.1
2021,09,강원도,486.61296,532.108,148.176115,46,136.454,9
2021,09,경상남도,324.84964,48.58,69.415525,32.75,64.155,5
2021,09,경상북도,569.919224,421.16,139.606456,126,127.302,35
2021,09,전라남도,1891.569645,385.975,1061.50327,135.8,798.73156,20.25
2021,09,전라북도,399.3058,79.5,142.50737,4.95,119.87,1.2
2021,09,충청남도,714.00303,2,258.85403,0,227.252,0
2021,09,충청북도,247.599435,0,97.156635,0,87.123,0
2021,09,제주도,377.49661,10294.26,16.595385,107,14.339,22.5
2021,09,서울특별시,13.734395,0,0.29512,0,0.25,0
2021,09,인천광역시,45.00252,49,12.41111,46,11.45,8
2021,09,대전광역시,14.3964,0,0,0,0.08,0
2021,09,광주광역시,59.331941,0,6.53971,0,4.97,0
2021,09,대구광역시,47.69213,0,6.88512,0,6,0
2021,09,세종특별자치시,23.71865,0,3.45531,0,3.25,0
2021,09,울산광역시,33.110135,1.65,3.97008,0,1.825,0
2021,09,부산광역시,72.099715,0.75,10.39266,0,8.45,0
2021,10,경기도,270.95637,5.25,44.89339,3,40.018,0.1
2021,10,강원도,491.56913,532.108,148.176115,46,136.454,9
2021,10,경상남도,331.49993,48.58,69.415525,32.75,64.155,5
2021,10,경상북도,581.144354,421.16,139.606456,126,127.302,35
2021,10,전라남도,1898.240855,385.975,1061.50327,135.8,798.73156,20.25
2021,10,전라북도,501.89992,79.5,142.50737,4.95,119.87,1.2
2021,10,충청남도,719.32472,2,258.85403,0,227.252,0
2021,10,충청북도,253.384335,0,97.156635,0,87.123,0
2021,10,제주도,383.4263,10294.26,16.595385,107,14.339,22.5
2021,10,서울특별시,13.734395,0,0.29512,0,0.25,0
2021,10,인천광역시,45.00252,49,12.41111,46,11.45,8
2021,10,대전광역시,14.3964,0,0,0,0.08,0
2021,10,광주광역시,59.331941,0,6.53971,0,4.97,0
2021,10,대구광역시,47.69213,0,6.88512,0,6,0
2021,10,세종특별자치시,23.71865,0,3.45531,0,3.25,0
2021,10,울산광역시,33.110135,1.65,3.97008,0,1.825,0
2021,10,부산광역시,75.275315,0.75,10.39266,0,8.45,0
