source,date,MWh
LNG,2016-01-29,3675.899454
바이오가스,2016-01-29,60.6336
바이오매스,2016-01-29,0
연료전지,2016-01-29,461.049342
태양광,2016-01-29,12.536412
폐기물,2016-01-29,308.999386
LNG,2016-01-30,3553.393135
바이오가스,2016-01-30,60.5616
바이오매스,2016-01-30,0
연료전지,2016-01-30,442.990141
태양광,2016-01-30,30.85726
폐기물,2016-01-30,293.937675
LNG,2016-01-31,3666.866674
바이오가스,2016-01-31,60.4896
바이오매스,2016-01-31,0
연료전지,2016-01-31,461.269385
태양광,2016-01-31,43.730407
폐기물,2016-01-31,295.588863
LNG,2016-02-01,3775.713907
바이오가스,2016-02-01,58.2048
바이오매스,2016-02-01,0
연료전지,2016-02-01,460.327619
태양광,2016-02-01,51.054166
폐기물,2016-02-01,290.254139
LNG,2016-02-02,3790.206973
바이오가스,2016-02-02,60.4224
바이오매스,2016-02-02,0
연료전지,2016-02-02,441.669769
태양광,2016-02-02,50.521852
폐기물,2016-02-02,314.413647
LNG,2016-02-03,3699.810487
바이오가스,2016-02-03,58.296
바이오매스,2016-02-03,0
연료전지,2016-02-03,458.103226
태양광,2016-02-03,40.5609
폐기물,2016-02-03,304.86532
LNG,2016-02-04,3614.714382
바이오가스,2016-02-04,60.5424
바이오매스,2016-02-04,0
연료전지,2016-02-04,460.755729
태양광,2016-02-04,37.696146
폐기물,2016-02-04,312.217849
LNG,2016-02-05,3630.69974
바이오가스,2016-02-05,60.6288
바이오매스,2016-02-05,0
연료전지,2016-02-05,460.025277
태양광,2016-02-05,41.984187
폐기물,2016-02-05,309.489355
LNG,2016-02-06,3515.873896
바이오가스,2016-02-06,60.6048
바이오매스,2016-02-06,0
연료전지,2016-02-06,442.375859
태양광,2016-02-06,49.944492
폐기물,2016-02-06,335.533374
LNG,2016-02-07,3496.463775
바이오가스,2016-02-07,60.624
바이오매스,2016-02-07,0
연료전지,2016-02-07,487.064502
태양광,2016-02-07,51.213763
폐기물,2016-02-07,307.065646
LNG,2016-02-08,3486.242716
바이오가스,2016-02-08,61.0272
바이오매스,2016-02-08,0
연료전지,2016-02-08,499.995543
태양광,2016-02-08,18.058186
폐기물,2016-02-08,310.405079
LNG,2016-02-09,3484.661356
바이오가스,2016-02-09,61.2432
바이오매스,2016-02-09,0
연료전지,2016-02-09,501.310101
태양광,2016-02-09,46.158745
폐기물,2016-02-09,306.457497
LNG,2016-02-10,3509.149796
바이오가스,2016-02-10,61.176
바이오매스,2016-02-10,0
연료전지,2016-02-10,500.678122
태양광,2016-02-10,51.214258
폐기물,2016-02-10,313.392118
LNG,2016-02-11,3506.351853
바이오가스,2016-02-11,56.9088
바이오매스,2016-02-11,0
연료전지,2016-02-11,489.012825
태양광,2016-02-11,27.013112
폐기물,2016-02-11,301.047934
LNG,2016-02-12,3513.364266
바이오가스,2016-02-12,60.9744
바이오매스,2016-02-12,0
연료전지,2016-02-12,464.366288
태양광,2016-02-12,2.369864
폐기물,2016-02-12,302.282681
LNG,2016-02-13,3491.938222
바이오가스,2016-02-13,60.8976
바이오매스,2016-02-13,0
연료전지,2016-02-13,477.114009
태양광,2016-02-13,10.850702
폐기물,2016-02-13,308.952845
LNG,2016-02-14,3614.235019
바이오가스,2016-02-14,59.6976
바이오매스,2016-02-14,0
연료전지,2016-02-14,483.068356
태양광,2016-02-14,8.78836
폐기물,2016-02-14,314.707051
LNG,2016-02-15,3949.250706
바이오가스,2016-02-15,61.1088
바이오매스,2016-02-15,0
연료전지,2016-02-15,449.442471
태양광,2016-02-15,61.210827
폐기물,2016-02-15,306.210146
LNG,2016-02-16,3747.509587
바이오가스,2016-02-16,61.0128
바이오매스,2016-02-16,0
연료전지,2016-02-16,471.693181
태양광,2016-02-16,20.001124
폐기물,2016-02-16,318.653504
LNG,2016-02-17,3659.318371
바이오가스,2016-02-17,60.7248
바이오매스,2016-02-17,0
연료전지,2016-02-17,477.879105
태양광,2016-02-17,58.976194
폐기물,2016-02-17,317.343406
LNG,2016-02-18,3615.46111
바이오가스,2016-02-18,60.7824
바이오매스,2016-02-18,0
연료전지,2016-02-18,498.550361
태양광,2016-02-18,28.26531
폐기물,2016-02-18,323.511429
LNG,2016-02-19,3467.039501
바이오가스,2016-02-19,60.7872
바이오매스,2016-02-19,0
연료전지,2016-02-19,499.730397
태양광,2016-02-19,15.32278
폐기물,2016-02-19,299.048812
LNG,2016-02-20,3472.166152
바이오가스,2016-02-20,60.8784
바이오매스,2016-02-20,0
연료전지,2016-02-20,501.965568
태양광,2016-02-20,48.959511
폐기물,2016-02-20,311.18017
LNG,2016-02-21,3489.783587
바이오가스,2016-02-21,60.888
바이오매스,2016-02-21,0
연료전지,2016-02-21,491.319958
태양광,2016-02-21,50.663727
폐기물,2016-02-21,308.294902
LNG,2016-02-22,3487.034089
바이오가스,2016-02-22,56.88
바이오매스,2016-02-22,0
연료전지,2016-02-22,501.834604
태양광,2016-02-22,18.02644
폐기물,2016-02-22,318.30594
LNG,2016-02-23,3532.518454
바이오가스,2016-02-23,91.6704
바이오매스,2016-02-23,0
연료전지,2016-02-23,492.466867
태양광,2016-02-23,54.524426
폐기물,2016-02-23,316.386204
LNG,2016-02-24,3636.377888
바이오가스,2016-02-24,119.4432
바이오매스,2016-02-24,0
연료전지,2016-02-24,491.056248
태양광,2016-02-24,60.770244
폐기물,2016-02-24,317.705277
LNG,2016-02-25,3568.716848
바이오가스,2016-02-25,119.832
바이오매스,2016-02-25,0
연료전지,2016-02-25,497.928874
태양광,2016-02-25,41.20498
폐기물,2016-02-25,322.920565
LNG,2016-02-26,3485.102719
바이오가스,2016-02-26,119.7312
바이오매스,2016-02-26,0
연료전지,2016-02-26,498.193441
태양광,2016-02-26,57.659435
폐기물,2016-02-26,230.865231
LNG,2016-02-27,3478.411084
바이오가스,2016-02-27,119.8704
바이오매스,2016-02-27,0
연료전지,2016-02-27,498.333435
태양광,2016-02-27,37.551489
폐기물,2016-02-27,322.679896
LNG,2016-02-28,3477.805781
바이오가스,2016-02-28,119.712
바이오매스,2016-02-28,0
연료전지,2016-02-28,498.112609
태양광,2016-02-28,13.476846
폐기물,2016-02-28,325.520068
LNG,2016-02-29,3648.91841
바이오가스,2016-02-29,111.5472
바이오매스,2016-02-29,0
연료전지,2016-02-29,497.699218
태양광,2016-02-29,9.617395
폐기물,2016-02-29,322.753725
LNG,2016-03-01,3597.642076
바이오가스,2016-03-01,119.856
바이오매스,2016-03-01,0
연료전지,2016-03-01,498.87425
태양광,2016-03-01,49.525336
폐기물,2016-03-01,318.281988
LNG,2016-03-02,3485.309493
바이오가스,2016-03-02,119.7264
바이오매스,2016-03-02,0
연료전지,2016-03-02,499.91237
태양광,2016-03-02,30.250608
폐기물,2016-03-02,289.895553
LNG,2016-03-03,3473.573981
바이오가스,2016-03-03,118.6512
바이오매스,2016-03-03,0
연료전지,2016-03-03,499.576989
태양광,2016-03-03,35.344845
폐기물,2016-03-03,320.112299
LNG,2016-03-04,3450.876813
바이오가스,2016-03-04,119.3856
바이오매스,2016-03-04,0
연료전지,2016-03-04,499.18227
태양광,2016-03-04,50.224361
폐기물,2016-03-04,319.323782
LNG,2016-03-05,3427.731064
바이오가스,2016-03-05,108.3936
바이오매스,2016-03-05,0
연료전지,2016-03-05,499.159974
태양광,2016-03-05,2.824681
폐기물,2016-03-05,317.180849
LNG,2016-03-06,3472.801443
바이오가스,2016-03-06,119.1744
바이오매스,2016-03-06,0
연료전지,2016-03-06,499.805514
태양광,2016-03-06,54.492067
폐기물,2016-03-06,317.540887
LNG,2016-03-07,3402.904324
바이오가스,2016-03-07,115.9728
바이오매스,2016-03-07,0
연료전지,2016-03-07,499.492569
태양광,2016-03-07,12.627853
폐기물,2016-03-07,311.164446
LNG,2016-03-08,3392.045501
바이오가스,2016-03-08,117.8592
바이오매스,2016-03-08,0
연료전지,2016-03-08,499.625623
태양광,2016-03-08,27.726759
폐기물,2016-03-08,319.370245
LNG,2016-03-09,3642.469134
바이오가스,2016-03-09,119.0304
바이오매스,2016-03-09,0
